,travelDuration,isBasicEconomy,seatsRemaining,isDelta,isEquipmentOther,searchDaysBeforeDepartueLog,isFlightTueWed,isDepartureMorning
128777,3.0,0.0,7,0.0,1.0,3.78,0.0,1.0
154757,3.0,0.0,6,0.0,1.0,3.66,0.0,1.0
179260,3.0,0.0,4,1.0,1.0,2.83,0.0,1.0
261627,3.0,0.0,9,1.0,1.0,3.14,0.0,1.0
18281,3.0,1.0,9,1.0,1.0,2.83,0.0,0.0
77457,3.0,1.0,9,1.0,1.0,3.18,1.0,1.0
29452,3.0,1.0,9,1.0,1.0,4.04,1.0,1.0
203173,3.0,1.0,9,1.0,1.0,3.56,1.0,1.0
155595,3.0,0.0,9,1.0,1.0,1.79,1.0,1.0
288993,3.1,0.0,5,0.0,1.0,3.3,1.0,1.0
49734,3.0,0.0,9,1.0,1.0,2.48,0.0,0.0
4563,3.0,1.0,9,1.0,1.0,2.48,0.0,0.0
186377,3.0,0.0,7,0.0,1.0,3.85,0.0,1.0
87682,3.0,0.0,9,1.0,1.0,3.0,0.0,1.0
44996,3.1,0.0,7,0.0,0.0,2.48,1.0,1.0
26842,3.0,0.0,6,1.0,1.0,3.69,0.0,1.0
135181,3.0,0.0,9,1.0,1.0,4.01,0.0,0.0
177608,3.0,0.0,3,1.0,1.0,2.89,0.0,0.0
41218,3.0,0.0,9,1.0,1.0,3.91,0.0,1.0
278422,3.0,0.0,2,1.0,1.0,1.79,0.0,1.0
87427,3.0,0.0,4,1.0,1.0,2.4,0.0,0.0
25204,3.1,0.0,7,0.0,0.0,3.97,1.0,1.0
139400,3.0,0.0,5,0.0,0.0,1.95,0.0,1.0
107446,3.0,0.0,7,0.0,0.0,3.26,1.0,1.0
6870,3.1,0.0,5,0.0,0.0,3.04,1.0,1.0
173397,3.0,1.0,9,1.0,1.0,4.06,0.0,1.0
161811,3.0,0.0,7,0.0,1.0,3.37,0.0,1.0
67331,3.0,1.0,9,1.0,1.0,3.69,0.0,0.0
3682,3.0,1.0,9,1.0,1.0,3.58,1.0,1.0
257828,3.1,1.0,7,0.0,1.0,3.04,0.0,1.0
19706,3.0,0.0,7,1.0,1.0,1.95,0.0,1.0
138933,3.0,0.0,9,1.0,1.0,3.99,0.0,0.0
88712,3.0,0.0,3,0.0,0.0,4.01,0.0,1.0
159943,3.0,1.0,9,1.0,1.0,3.4,0.0,1.0
75325,3.0,0.0,6,1.0,1.0,2.64,0.0,0.0
8166,3.1,0.0,4,0.0,0.0,3.0,1.0,1.0
61976,3.0,1.0,9,1.0,1.0,4.01,1.0,1.0
4645,3.1,0.0,7,0.0,0.0,2.64,1.0,0.0
191229,3.0,0.0,6,1.0,1.0,0.0,0.0,0.0
121510,3.0,0.0,1,0.0,0.0,2.94,0.0,1.0
51677,3.0,0.0,9,1.0,1.0,1.95,0.0,0.0
135039,3.0,0.0,7,0.0,1.0,3.93,0.0,1.0
24732,3.0,1.0,9,1.0,1.0,3.66,1.0,1.0
81597,3.1,0.0,2,0.0,0.0,3.09,0.0,1.0
6876,3.0,0.0,9,1.0,1.0,3.09,0.0,1.0
285492,3.0,0.0,6,1.0,1.0,3.5,0.0,1.0
34559,3.0,1.0,9,1.0,1.0,3.43,0.0,0.0
22836,3.1,0.0,7,0.0,0.0,3.76,0.0,1.0
41760,3.0,0.0,7,1.0,1.0,1.79,0.0,0.0
197467,3.0,1.0,9,1.0,1.0,3.43,1.0,1.0
11284,3.0,1.0,9,1.0,1.0,3.99,1.0,0.0
22870,3.0,1.0,9,1.0,1.0,3.78,0.0,1.0
95065,3.0,0.0,2,0.0,0.0,3.53,1.0,1.0
182003,3.0,0.0,1,1.0,1.0,1.1,0.0,1.0
11476,3.0,0.0,9,1.0,1.0,0.0,0.0,0.0
26384,3.0,1.0,9,1.0,1.0,3.22,0.0,1.0
271451,3.1,0.0,7,1.0,1.0,2.94,0.0,0.0
97503,3.0,0.0,7,0.0,0.0,4.06,0.0,1.0
202717,3.1,1.0,9,1.0,1.0,3.04,1.0,0.0
