,flightDate,travelDuration,isOneElapsedDays,isBasicEconomy,baseFare,seatsRemaining,isOtherEquipment,isFirstCabin,searchDaysBeforeDeparture,departureTimeInMin,airlineName_American Airlines,airlineName_Delta,airlineName_Spirit Airlines
2,2022-04-17,186,0.0,0.0,140.0,0,1.0,0.0,1,550,0.0,0.0,1.0
3,2022-04-17,178,0.0,0.0,262.33,2,1.0,0.0,1,859,0.0,1.0,0.0
4,2022-04-17,181,0.0,0.0,262.33,7,1.0,0.0,1,521,0.0,1.0,0.0
5,2022-04-17,188,0.0,0.0,262.33,7,1.0,0.0,1,772,1.0,0.0,0.0
6,2022-04-17,189,0.0,0.0,262.33,7,1.0,0.0,1,360,1.0,0.0,0.0
31,2022-04-18,186,0.0,0.0,140.0,0,1.0,0.0,2,550,0.0,0.0,1.0
40,2022-04-18,178,0.0,0.0,262.33,9,1.0,0.0,2,859,0.0,1.0,0.0
41,2022-04-18,188,0.0,0.0,262.33,7,1.0,0.0,2,772,1.0,0.0,0.0
42,2022-04-18,189,0.0,0.0,262.33,7,1.0,0.0,2,360,1.0,0.0,0.0
56,2022-04-18,181,0.0,0.0,338.6,2,1.0,0.0,2,521,0.0,1.0,0.0
59,2022-04-19,184,0.0,0.0,100.0,0,0.0,0.0,3,1080,0.0,0.0,1.0
60,2022-04-19,186,0.0,0.0,100.0,0,1.0,0.0,3,550,0.0,0.0,1.0
95,2022-04-19,178,0.0,0.0,262.33,9,1.0,0.0,3,859,0.0,1.0,0.0
96,2022-04-19,181,0.0,0.0,262.33,8,1.0,0.0,3,521,0.0,1.0,0.0
97,2022-04-19,188,0.0,0.0,262.33,7,1.0,0.0,3,772,1.0,0.0,0.0
98,2022-04-19,189,0.0,0.0,262.33,7,1.0,0.0,3,360,1.0,0.0,0.0
108,2022-04-20,178,0.0,0.0,100.0,0,0.0,0.0,4,1259,0.0,0.0,1.0
153,2022-04-20,178,0.0,0.0,262.33,9,1.0,0.0,4,859,0.0,1.0,0.0
154,2022-04-20,181,0.0,0.0,262.33,9,1.0,0.0,4,521,0.0,1.0,0.0
155,2022-04-20,188,0.0,0.0,262.33,7,1.0,0.0,4,772,1.0,0.0,0.0
156,2022-04-20,189,0.0,0.0,262.33,7,1.0,0.0,4,360,1.0,0.0,0.0
193,2022-04-21,178,0.0,0.0,170.0,0,0.0,0.0,5,1259,0.0,0.0,1.0
219,2022-04-21,178,0.0,0.0,262.33,3,1.0,0.0,5,859,0.0,1.0,0.0
220,2022-04-21,188,0.0,0.0,262.33,7,1.0,0.0,5,772,1.0,0.0,0.0
221,2022-04-21,189,0.0,0.0,262.33,7,1.0,0.0,5,360,1.0,0.0,0.0
227,2022-04-21,181,0.0,0.0,338.6,3,1.0,0.0,5,521,0.0,1.0,0.0
235,2022-04-22,178,0.0,0.0,100.0,0,0.0,0.0,6,1259,0.0,0.0,1.0
254,2022-04-22,178,0.0,0.0,262.33,7,1.0,0.0,6,859,0.0,1.0,0.0
255,2022-04-22,188,0.0,0.0,262.33,7,1.0,0.0,6,772,1.0,0.0,0.0
256,2022-04-22,189,0.0,0.0,262.33,7,1.0,0.0,6,360,1.0,0.0,0.0
262,2022-04-22,181,0.0,0.0,338.6,5,1.0,0.0,6,521,0.0,1.0,0.0
265,2022-04-23,178,0.0,0.0,60.0,0,0.0,0.0,7,1259,0.0,0.0,1.0
276,2022-04-23,189,0.0,0.0,161.86,7,1.0,0.0,7,360,1.0,0.0,0.0
282,2022-04-23,178,0.0,0.0,171.16,2,1.0,0.0,7,859,0.0,1.0,0.0
284,2022-04-23,188,0.0,0.0,217.67,7,1.0,0.0,7,772,1.0,0.0,0.0
289,2022-04-23,179,0.0,0.0,515.35,2,0.0,0.0,7,525,0.0,1.0,0.0
290,2022-04-24,178,0.0,0.0,26.0,0,0.0,0.0,8,1259,0.0,0.0,1.0
294,2022-04-24,189,0.0,0.0,115.35,3,1.0,0.0,8,360,1.0,0.0,0.0
295,2022-04-24,178,0.0,1.0,152.56,9,1.0,0.0,8,859,0.0,1.0,0.0
296,2022-04-24,181,0.0,1.0,152.56,9,1.0,0.0,8,521,0.0,1.0,0.0
307,2022-04-24,188,0.0,0.0,282.79,7,1.0,0.0,8,772,1.0,0.0,0.0
311,2022-04-25,178,0.0,0.0,21.41,0,0.0,0.0,9,1259,0.0,0.0,1.0
312,2022-04-25,178,0.0,1.0,106.05,9,1.0,0.0,9,859,0.0,1.0,0.0
313,2022-04-25,189,0.0,0.0,106.05,7,1.0,0.0,9,360,1.0,0.0,0.0
321,2022-04-25,188,0.0,0.0,115.35,3,1.0,0.0,9,772,1.0,0.0,0.0
328,2022-04-25,181,0.0,1.0,152.56,9,1.0,0.0,9,521,0.0,1.0,0.0
338,2022-04-26,178,0.0,0.0,21.41,0,0.0,0.0,10,1259,0.0,0.0,1.0
340,2022-04-26,178,0.0,1.0,106.05,9,1.0,0.0,10,859,0.0,1.0,0.0
341,2022-04-26,181,0.0,1.0,106.05,9,1.0,0.0,10,521,0.0,1.0,0.0
342,2022-04-26,188,0.0,0.0,106.05,7,1.0,0.0,10,772,1.0,0.0,0.0
343,2022-04-26,189,0.0,0.0,106.05,7,1.0,0.0,10,360,1.0,0.0,0.0
391,2022-04-18,186,0.0,0.0,140.0,0,1.0,0.0,1,550,0.0,0.0,1.0
400,2022-04-18,178,0.0,0.0,262.33,6,1.0,0.0,1,859,0.0,1.0,0.0
401,2022-04-18,188,0.0,0.0,262.33,7,1.0,0.0,1,772,1.0,0.0,0.0
402,2022-04-18,189,0.0,0.0,262.33,7,1.0,0.0,1,360,1.0,0.0,0.0
412,2022-04-18,181,0.0,0.0,338.6,2,1.0,0.0,1,521,0.0,1.0,0.0
420,2022-04-19,184,0.0,0.0,140.0,0,0.0,0.0,2,1080,0.0,0.0,1.0
421,2022-04-19,186,0.0,0.0,140.0,0,1.0,0.0,2,550,0.0,0.0,1.0
451,2022-04-19,178,0.0,0.0,262.33,9,1.0,0.0,2,859,0.0,1.0,0.0
452,2022-04-19,181,0.0,0.0,262.33,8,1.0,0.0,2,521,0.0,1.0,0.0
453,2022-04-19,188,0.0,0.0,262.33,7,1.0,0.0,2,772,1.0,0.0,0.0
454,2022-04-19,189,0.0,0.0,262.33,7,1.0,0.0,2,360,1.0,0.0,0.0
464,2022-04-20,178,0.0,0.0,100.0,0,0.0,0.0,3,1259,0.0,0.0,1.0
508,2022-04-20,178,0.0,0.0,262.33,9,1.0,0.0,3,859,0.0,1.0,0.0
509,2022-04-20,181,0.0,0.0,262.33,9,1.0,0.0,3,521,0.0,1.0,0.0
510,2022-04-20,188,0.0,0.0,262.33,7,1.0,0.0,3,772,1.0,0.0,0.0
511,2022-04-20,189,0.0,0.0,262.33,7,1.0,0.0,3,360,1.0,0.0,0.0
547,2022-04-21,178,0.0,0.0,170.0,0,0.0,0.0,4,1259,0.0,0.0,1.0
574,2022-04-21,178,0.0,0.0,262.33,3,1.0,0.0,4,859,0.0,1.0,0.0
575,2022-04-21,188,0.0,0.0,262.33,7,1.0,0.0,4,772,1.0,0.0,0.0
576,2022-04-21,189,0.0,0.0,262.33,7,1.0,0.0,4,360,1.0,0.0,0.0
582,2022-04-21,181,0.0,0.0,338.6,3,1.0,0.0,4,521,0.0,1.0,0.0
589,2022-04-22,178,0.0,0.0,100.0,0,0.0,0.0,5,1259,0.0,0.0,1.0
605,2022-04-22,178,0.0,0.0,262.33,8,1.0,0.0,5,859,0.0,1.0,0.0
606,2022-04-22,188,0.0,0.0,262.33,7,1.0,0.0,5,772,1.0,0.0,0.0
607,2022-04-22,189,0.0,0.0,262.33,7,1.0,0.0,5,360,1.0,0.0,0.0
613,2022-04-22,181,0.0,0.0,338.6,5,1.0,0.0,5,521,0.0,1.0,0.0
628,2022-04-23,178,0.0,0.0,100.0,0,0.0,0.0,6,1259,0.0,0.0,1.0
629,2022-04-23,189,0.0,0.0,161.86,10,1.0,0.0,6,360,1.0,0.0,0.0
632,2022-04-23,178,0.0,0.0,171.16,2,1.0,0.0,6,859,0.0,1.0,0.0
635,2022-04-23,188,0.0,0.0,217.67,10,1.0,0.0,6,772,1.0,0.0,0.0
639,2022-04-23,179,0.0,0.0,515.35,1,0.0,0.0,6,525,0.0,1.0,0.0
640,2022-04-24,178,0.0,0.0,26.0,0,0.0,0.0,7,1259,0.0,0.0,1.0
641,2022-04-24,178,0.0,1.0,106.05,9,1.0,0.0,7,859,0.0,1.0,0.0
645,2022-04-24,189,0.0,0.0,115.35,3,1.0,0.0,7,360,1.0,0.0,0.0
646,2022-04-24,181,0.0,1.0,152.56,9,1.0,0.0,7,521,0.0,1.0,0.0
660,2022-04-24,188,0.0,0.0,282.79,7,1.0,0.0,7,772,1.0,0.0,0.0
663,2022-04-25,178,0.0,0.0,21.41,0,0.0,0.0,8,1259,0.0,0.0,1.0
664,2022-04-25,178,0.0,1.0,106.05,9,1.0,0.0,8,859,0.0,1.0,0.0
665,2022-04-25,189,0.0,0.0,106.05,7,1.0,0.0,8,360,1.0,0.0,0.0
673,2022-04-25,188,0.0,0.0,115.35,3,1.0,0.0,8,772,1.0,0.0,0.0
680,2022-04-25,181,0.0,1.0,152.56,9,1.0,0.0,8,521,0.0,1.0,0.0
691,2022-04-26,178,0.0,0.0,21.41,0,0.0,0.0,9,1259,0.0,0.0,1.0
693,2022-04-26,178,0.0,1.0,106.05,9,1.0,0.0,9,859,0.0,1.0,0.0
694,2022-04-26,181,0.0,1.0,106.05,9,1.0,0.0,9,521,0.0,1.0,0.0
695,2022-04-26,188,0.0,0.0,106.05,7,1.0,0.0,9,772,1.0,0.0,0.0
696,2022-04-26,189,0.0,0.0,106.05,7,1.0,0.0,9,360,1.0,0.0,0.0
744,2022-04-27,178,0.0,0.0,60.0,0,0.0,0.0,10,1259,0.0,0.0,1.0
745,2022-04-27,178,0.0,1.0,106.05,9,1.0,0.0,10,859,0.0,1.0,0.0
746,2022-04-27,181,0.0,1.0,106.05,9,1.0,0.0,10,521,0.0,1.0,0.0
766,2022-04-27,188,0.0,0.0,115.35,3,1.0,0.0,10,772,1.0,0.0,0.0
774,2022-04-27,189,0.0,0.0,161.86,7,1.0,0.0,10,360,1.0,0.0,0.0
784,2022-04-28,181,0.0,0.0,217.67,1,1.0,0.0,11,521,0.0,1.0,0.0
785,2022-04-28,189,0.0,0.0,217.67,7,1.0,0.0,11,360,1.0,0.0,0.0
792,2022-04-28,178,0.0,0.0,240.0,0,0.0,0.0,11,1259,0.0,0.0,1.0
794,2022-04-28,178,0.0,0.0,282.79,5,1.0,0.0,11,859,0.0,1.0,0.0
795,2022-04-28,188,0.0,0.0,282.79,5,1.0,0.0,11,772,1.0,0.0,0.0
806,2022-04-29,178,0.0,0.0,140.0,0,0.0,0.0,12,1259,0.0,0.0,1.0
808,2022-04-29,181,0.0,0.0,217.67,2,1.0,0.0,12,521,0.0,1.0,0.0
809,2022-04-29,189,0.0,0.0,217.67,1,1.0,0.0,12,360,1.0,0.0,0.0
820,2022-04-29,178,0.0,0.0,282.79,6,1.0,0.0,12,859,0.0,1.0,0.0
831,2022-04-29,188,0.0,0.0,375.81,7,1.0,0.0,12,772,1.0,0.0,0.0
832,2022-04-30,178,0.0,0.0,26.0,0,0.0,0.0,13,1259,0.0,0.0,1.0
842,2022-04-30,178,0.0,1.0,152.56,9,1.0,0.0,13,859,0.0,1.0,0.0
845,2022-04-30,188,0.0,0.0,161.86,7,1.0,0.0,13,772,1.0,0.0,0.0
846,2022-04-30,189,0.0,0.0,161.86,7,1.0,0.0,13,360,1.0,0.0,0.0
858,2022-04-30,179,0.0,0.0,282.79,3,0.0,0.0,13,525,0.0,1.0,0.0
868,2022-05-01,178,0.0,0.0,60.0,0,0.0,0.0,14,1259,0.0,0.0,1.0
869,2022-05-01,178,0.0,1.0,143.26,9,1.0,0.0,14,859,0.0,1.0,0.0
870,2022-05-01,181,0.0,1.0,143.26,9,1.0,0.0,14,521,0.0,1.0,0.0
874,2022-05-01,188,0.0,0.0,217.67,2,1.0,0.0,14,772,1.0,0.0,0.0
875,2022-05-01,189,0.0,0.0,217.67,7,1.0,0.0,14,360,1.0,0.0,0.0
893,2022-05-02,178,0.0,0.0,5.38,0,0.0,0.0,15,1259,0.0,0.0,1.0
894,2022-05-02,178,0.0,1.0,87.44,9,1.0,0.0,15,859,0.0,1.0,0.0
896,2022-05-02,189,0.0,0.0,115.35,7,1.0,0.0,15,360,1.0,0.0,0.0
903,2022-05-02,181,0.0,1.0,143.26,9,1.0,0.0,15,521,0.0,1.0,0.0
904,2022-05-02,188,0.0,0.0,161.86,7,1.0,0.0,15,772,1.0,0.0,0.0
922,2022-05-03,178,0.0,0.0,5.38,0,0.0,0.0,16,1259,0.0,0.0,1.0
923,2022-05-03,178,0.0,1.0,87.44,9,1.0,0.0,16,859,0.0,1.0,0.0
924,2022-05-03,181,0.0,1.0,87.44,9,1.0,0.0,16,521,0.0,1.0,0.0
925,2022-05-03,189,0.0,0.0,87.44,5,1.0,0.0,16,360,1.0,0.0,0.0
958,2022-05-03,188,0.0,0.0,115.35,7,1.0,0.0,16,772,1.0,0.0,0.0
968,2022-05-04,175,1.0,0.0,26.0,0,0.0,0.0,17,1319,0.0,0.0,1.0
979,2022-05-04,178,0.0,1.0,106.05,9,1.0,0.0,17,859,0.0,1.0,0.0
981,2022-05-04,188,0.0,0.0,115.35,2,1.0,0.0,17,772,1.0,0.0,0.0
