,Unnamed: 0,flightDate,travelDuration,isOneElapsedDays,isBasicEconomy,baseFare,seatsRemaining,isFirstCabin,searchDaysBeforeDeparture,departureTimeInMin,isAA
0,2,2022-04-17,186,0,0,140.0,0,0,1,550,0
5,31,2022-04-18,186,0,0,140.0,0,0,2,550,0
10,59,2022-04-19,184,0,0,100.0,0,0,3,1080,0
11,60,2022-04-19,186,0,0,100.0,0,0,3,550,0
16,108,2022-04-20,178,0,0,100.0,0,0,4,1259,0
21,193,2022-04-21,178,0,0,170.0,0,0,5,1259,0
26,235,2022-04-22,178,0,0,100.0,0,0,6,1259,0
31,265,2022-04-23,178,0,0,60.0,0,0,7,1259,0
36,290,2022-04-24,178,0,0,26.0,0,0,8,1259,0
41,311,2022-04-25,178,0,0,21.41,0,0,9,1259,0
46,338,2022-04-26,178,0,0,21.41,0,0,10,1259,0
51,391,2022-04-18,186,0,0,140.0,0,0,1,550,0
56,420,2022-04-19,184,0,0,140.0,0,0,2,1080,0
57,421,2022-04-19,186,0,0,140.0,0,0,2,550,0
62,464,2022-04-20,178,0,0,100.0,0,0,3,1259,0
67,547,2022-04-21,178,0,0,170.0,0,0,4,1259,0
72,589,2022-04-22,178,0,0,100.0,0,0,5,1259,0
77,628,2022-04-23,178,0,0,100.0,0,0,6,1259,0
82,640,2022-04-24,178,0,0,26.0,0,0,7,1259,0
87,663,2022-04-25,178,0,0,21.41,0,0,8,1259,0
92,691,2022-04-26,178,0,0,21.41,0,0,9,1259,0
97,744,2022-04-27,178,0,0,60.0,0,0,10,1259,0
104,792,2022-04-28,178,0,0,240.0,0,0,11,1259,0
107,806,2022-04-29,178,0,0,140.0,0,0,12,1259,0
112,832,2022-04-30,178,0,0,26.0,0,0,13,1259,0
117,868,2022-05-01,178,0,0,60.0,0,0,14,1259,0
122,893,2022-05-02,178,0,0,5.38,0,0,15,1259,0
127,922,2022-05-03,178,0,0,5.38,0,0,16,1259,0
132,968,2022-05-04,175,1,0,26.0,0,0,17,1319,0
137,1007,2022-05-05,179,1,0,100.0,0,0,18,1290,0
138,1010,2022-05-05,176,0,0,140.0,0,0,18,825,0
142,1031,2022-05-06,179,1,0,5.38,0,0,19,1290,0
143,1035,2022-05-06,176,0,0,100.0,0,0,19,825,0
147,1068,2022-05-07,179,1,0,5.38,0,0,20,1290,0
150,1092,2022-05-07,176,0,0,240.0,0,0,20,825,0
152,1102,2022-05-08,179,1,0,5.2,0,0,21,1290,0
155,1110,2022-05-08,176,0,0,240.0,0,0,21,825,0
157,1136,2022-05-09,179,1,0,5.2,0,0,22,1290,0
158,1142,2022-05-09,176,0,0,60.0,0,0,22,825,0
162,1165,2022-05-10,179,1,0,5.2,0,0,23,1290,0
166,1204,2022-05-11,179,1,0,5.2,0,0,24,1290,0
170,1233,2022-05-12,179,1,0,26.0,0,0,25,1290,0
171,1236,2022-05-12,176,0,0,170.0,0,0,25,825,0
175,1266,2022-05-13,179,1,0,5.38,0,0,26,1290,0
178,1281,2022-05-13,176,0,0,240.0,0,0,26,825,0
180,1306,2022-05-14,179,1,0,5.2,0,0,27,1290,0
181,1307,2022-05-14,176,0,0,5.38,0,0,27,825,0
185,1335,2022-05-15,176,0,0,5.2,0,0,28,825,0
186,1336,2022-05-15,179,1,0,5.2,0,0,28,1290,0
190,1363,2022-05-16,176,0,0,5.2,0,0,29,825,0
191,1364,2022-05-16,179,1,0,5.2,0,0,29,1290,0
195,1398,2022-05-17,179,1,0,5.2,0,0,30,1290,0
199,1437,2022-05-18,179,1,0,5.2,0,0,31,1290,0
203,1472,2022-05-19,179,1,0,100.0,0,0,32,1290,0
206,1478,2022-05-19,176,0,0,200.0,0,0,32,825,0
208,1505,2022-05-20,179,1,0,5.2,0,0,33,1290,0
209,1508,2022-05-20,176,0,0,170.0,0,0,33,825,0
213,1550,2022-05-21,179,1,0,5.2,0,0,34,1290,0
214,1551,2022-05-21,176,0,0,5.38,0,0,34,825,0
218,1587,2022-05-22,176,0,0,5.2,0,0,35,825,0
219,1588,2022-05-22,179,1,0,5.2,0,0,35,1290,0
223,1624,2022-05-23,176,0,0,5.2,0,0,36,825,0
227,1652,2022-05-24,177,0,0,5.2,0,0,37,840,0
228,1653,2022-05-24,179,1,0,5.2,0,0,37,1332,0
232,1688,2022-05-25,180,1,0,5.38,0,0,38,1335,0
236,1719,2022-05-26,180,1,0,26.0,0,0,39,1335,0
237,1720,2022-05-26,180,0,0,60.0,0,0,39,647,0
241,1751,2022-05-27,180,0,0,60.0,0,0,40,647,0
242,1752,2022-05-27,180,1,0,60.0,0,0,40,1335,0
246,1777,2022-05-28,180,0,0,5.2,0,0,41,647,0
247,1778,2022-05-28,180,1,0,5.2,0,0,41,1335,0
251,1803,2022-05-29,180,0,0,5.2,0,0,42,647,0
252,1804,2022-05-29,180,1,0,5.2,0,0,42,1335,0
256,1831,2022-05-30,180,0,0,5.38,0,0,43,647,0
257,1832,2022-05-30,180,1,0,5.38,0,0,43,1335,0
261,1864,2022-05-31,180,1,0,5.2,0,0,44,1335,0
265,1881,2022-06-01,180,1,0,5.2,0,0,45,1335,0
271,1919,2022-06-02,180,1,0,140.0,0,0,46,1335,0
273,1922,2022-06-02,180,0,0,200.0,0,0,46,647,0
274,1938,2022-06-03,180,0,0,26.0,0,0,47,647,0
275,1939,2022-06-03,180,1,0,26.0,0,0,47,1335,0
279,1957,2022-06-04,180,0,0,60.0,0,0,48,647,0
280,1958,2022-06-04,180,1,0,60.0,0,0,48,1335,0
284,1987,2022-06-05,180,0,0,60.0,0,0,49,647,0
285,1988,2022-06-05,185,1,0,60.0,0,0,49,1335,0
289,2022,2022-06-06,180,0,0,5.38,0,0,50,647,0
290,2023,2022-06-06,185,1,0,5.38,0,0,50,1335,0
294,2056,2022-06-07,185,1,0,5.2,0,0,51,1335,0
298,2085,2022-06-08,185,1,0,5.2,0,0,52,1335,0
302,2107,2022-06-09,185,1,0,26.0,0,0,53,1335,0
304,2109,2022-06-09,180,0,0,100.0,0,0,53,647,0
307,2140,2022-06-10,180,0,0,60.0,0,0,54,647,0
308,2141,2022-06-10,185,1,0,60.0,0,0,54,1335,0
312,2170,2022-06-11,185,1,0,60.0,0,0,55,1335,0
314,2174,2022-06-11,180,0,0,100.0,0,0,55,647,0
317,2205,2022-06-12,180,0,0,60.0,0,0,56,647,0
318,2206,2022-06-12,185,1,0,60.0,0,0,56,1335,0
322,2239,2022-06-13,185,1,0,5.38,0,0,57,1335,0
323,2240,2022-06-13,180,0,0,60.0,0,0,57,647,0
327,2278,2022-06-14,185,1,0,5.2,0,0,58,1335,0
331,2303,2022-06-15,185,1,0,5.2,0,0,59,1335,0
335,2332,2022-06-16,185,1,0,100.0,0,0,60,1335,0
338,2335,2022-06-16,180,0,0,170.0,0,0,60,647,0
340,2370,2022-04-19,184,0,0,140.0,0,0,1,1080,0
341,2371,2022-04-19,186,0,0,140.0,0,0,1,550,0
346,2442,2022-04-20,178,0,0,140.0,0,0,2,1259,0
351,2513,2022-04-21,178,0,0,170.0,0,0,3,1259,0
356,2555,2022-04-22,178,0,0,100.0,0,0,4,1259,0
361,2605,2022-04-23,178,0,0,100.0,0,0,5,1259,0
368,2648,2022-04-24,178,0,0,100.0,0,0,6,1259,0
371,2664,2022-04-25,178,0,0,26.0,0,0,7,1259,0
376,2689,2022-04-26,178,0,0,26.0,0,0,8,1259,0
381,2746,2022-04-27,178,0,0,60.0,0,0,9,1259,0
388,2794,2022-04-28,178,0,0,240.0,0,0,10,1259,0
391,2807,2022-04-29,178,0,0,140.0,0,0,11,1259,0
396,2834,2022-04-30,178,0,0,26.0,0,0,12,1259,0
401,2871,2022-05-01,178,0,0,60.0,0,0,13,1259,0
406,2898,2022-05-02,178,0,0,5.38,0,0,14,1259,0
411,2928,2022-05-03,178,0,0,5.38,0,0,15,1259,0
416,2972,2022-05-04,175,1,0,5.38,0,0,16,1319,0
421,3006,2022-05-05,179,1,0,60.0,0,0,17,1290,0
422,3011,2022-05-05,176,0,0,140.0,0,0,17,825,0
426,3033,2022-05-06,179,1,0,5.38,0,0,18,1290,0
427,3034,2022-05-06,176,0,0,60.0,0,0,18,825,0
431,3074,2022-05-07,179,1,0,5.38,0,0,19,1290,0
434,3099,2022-05-07,176,0,0,240.0,0,0,19,825,0
436,3106,2022-05-08,179,1,0,5.38,0,0,20,1290,0
