,baseFare
163443,171.16
188736,171.16
150525,264.19
125232,338.61
261691,264.19
187326,124.65
15300,78.14
6009,82.79
273169,264.19
254183,347.91
224546,171.16
58558,124.65
15636,199.07
246947,236.28
262097,217.67
213162,143.26
97546,273.49
127078,217.67
250230,143.26
23821,292.09
202903,124.65
16981,375.81
244915,171.16
187325,124.65
88266,273.49
176548,124.65
231036,143.26
123549,124.65
109295,124.65
269664,264.19
79564,180.47
62001,152.56
142609,87.44
42839,152.55
239575,217.67
49436,347.91
179041,217.67
136992,87.44
111797,352.56
240219,199.07
227498,199.07
149442,124.65
137141,124.65
172910,87.44
162053,124.65
229083,133.95
204862,143.26
164648,92.09
212349,171.16
271016,217.67
159224,310.7
277079,310.7
252293,292.09
21288,199.07
258857,124.65
134449,124.65
110256,199.07
20319,82.79
93509,189.77
135340,124.65
28454,82.79
179907,124.65
142070,104.19
132171,171.16
171836,310.7
95462,124.65
7757,282.79
179829,124.65
187770,189.77
251447,217.67
88057,273.49
197882,124.65
231479,310.7
110914,152.56
257253,217.67
28779,152.55
254982,292.09
104624,152.56
273143,217.67
222335,310.7
100108,217.67
251581,217.67
151632,124.65
82359,282.79
228325,310.7
84719,273.49
103333,189.77
49733,226.98
239530,217.67
74653,217.67
240798,310.7
207013,115.35
14280,106.05
37222,203.73
145377,199.07
131471,222.33
171312,87.44
209073,171.16
2636,262.33
121555,199.07
22811,236.28
260954,217.67
173754,217.67
159430,217.67
70912,236.28
281342,199.07
162442,143.26
136113,199.07
199045,124.65
2864,282.79
159331,217.67
203321,124.65
79371,271.63
208715,171.16
57790,347.91
216962,310.7
100016,124.65
196169,171.16
25127,208.38
18950,157.21
136672,199.07
72179,347.91
56408,124.65
66548,175.82
269539,413.02
2771,115.35
269261,171.16
229135,124.65
39713,431.63
102504,271.63
238598,124.65
266827,310.7
247981,217.67
180081,115.35
180736,171.16
91384,189.77
75789,199.07
4397,106.05
19543,347.91
95468,152.56
278688,310.7
101684,189.77
10037,217.67
66007,152.56
117457,217.67
70918,273.49
214603,171.16
32447,82.79
242894,217.67
83036,171.16
122313,152.56
270326,217.67
143231,171.16
172507,180.47
141733,264.19
160444,92.09
141189,217.67
130337,217.67
244913,171.16
54228,271.63
9150,310.7
163051,217.67
124027,217.67
107350,273.49
263962,338.6
129083,124.65
167331,124.65
146421,310.7
46740,271.63
128447,124.65
50297,357.2
2997,161.86
133399,87.44
107813,124.65
38048,292.09
206340,199.07
197701,115.35
259987,236.28
72373,180.47
174597,124.65
9242,82.79
58099,189.77
67114,152.56
37258,213.03
265437,171.16
42402,157.21
181411,124.65
34654,82.79
192823,310.7
134812,217.67
110722,124.65
197136,171.16
6410,106.05
259402,264.19
2112,194.42
194964,171.16
154025,175.81
219015,217.67
99491,271.63
254499,124.65
27722,271.63
117692,171.16
57134,124.65
142231,87.44
101287,226.98
137948,199.07
175225,87.44
201154,133.95
37370,133.95
52824,213.03
280462,217.67
218219,143.26
218057,236.28
238124,264.19
84518,273.49
222633,217.67
160589,199.07
120588,124.65
197356,133.95
241822,124.65
179568,87.44
129409,87.44
157929,171.16
183527,124.65
