,baseFare
192083,124.65
117945,171.16
90535,180.47
208473,217.67
102005,189.77
220,262.33
223100,171.16
60837,236.28
147751,124.65
220750,217.67
161565,171.16
5012,171.16
240902,217.67
102652,226.98
15326,282.79
62034,250.24
241476,199.07
153049,87.44
74566,296.75
61952,226.97
211697,310.7
227483,236.28
40804,133.95
270250,264.19
122309,124.65
23922,87.44
131116,199.07
90769,271.63
167461,143.26
59200,124.65
122116,199.07
132532,152.56
70970,240.93
152775,124.65
19188,203.73
217822,124.65
226158,115.35
268853,310.7
7472,262.33
124404,124.65
142520,152.56
235806,310.7
283827,199.07
133683,310.7
85678,185.12
212914,124.65
279321,264.19
196086,115.35
59854,124.65
287913,385.12
273340,310.7
88705,124.65
232291,217.67
104685,189.77
37399,189.77
277585,171.16
221939,115.35
3215,106.05
90532,124.65
190824,124.65
78656,271.63
108129,310.7
18982,115.35
107309,171.16
51214,199.07
74960,271.63
273012,385.12
204371,171.16
35599,271.63
12957,194.42
246971,292.09
147292,124.65
163110,217.67
122017,152.56
87492,338.6
25204,180.47
121749,199.07
23618,271.63
226014,171.16
260639,385.12
142127,171.16
29059,236.28
15407,217.67
77079,226.98
145285,152.56
274724,310.7
77241,124.65
255905,199.07
160472,92.09
160369,171.16
132199,171.16
81682,217.67
118652,199.07
132999,124.65
114762,217.67
251198,310.7
249731,217.67
9090,133.96
180470,310.7
245735,143.26
216688,310.7
52651,180.47
20292,226.98
110241,217.67
144384,87.44
188419,310.7
208474,217.67
110611,310.7
147699,87.44
235936,310.7
190429,217.67
61951,226.97
43613,347.91
80628,273.49
59053,180.47
247771,310.7
192405,124.65
261088,217.67
95563,217.67
15596,152.56
174423,124.65
255342,310.7
75769,185.12
35867,115.35
209047,171.16
284381,217.67
4087,124.65
20883,129.31
227985,199.07
274542,310.7
40709,231.63
258666,199.07
123660,217.67
226803,310.7
136600,124.65
143158,217.67
171828,217.67
139661,171.16
132284,152.56
129048,124.65
68789,124.65
15497,143.26
247027,124.65
22001,171.16
174278,124.65
85058,152.56
112600,208.37
148159,310.7
219374,124.65
39534,152.55
149358,124.65
157478,292.09
49969,171.16
92769,180.47
237060,171.16
240150,236.28
37255,138.61
47978,180.47
266466,310.7
10967,185.12
206556,199.07
90975,273.49
172649,87.44
257551,310.7
230335,217.67
35600,271.63
281687,199.07
152583,199.07
106744,645.58
208300,217.67
118353,124.65
121327,217.67
147452,124.65
144011,87.44
12304,78.14
196860,217.67
191588,217.67
189098,124.65
70850,124.65
10966,138.61
36951,208.38
9097,240.93
103360,124.65
153397,129.3
201390,115.35
100138,152.56
3786,171.16
283426,264.19
197196,124.65
257253,217.67
145164,199.07
112011,264.19
145374,152.56
98557,273.49
89802,208.37
202033,310.7
226419,236.28
176943,124.65
249031,347.91
94518,357.21
242188,347.91
186654,217.67
94930,273.49
154357,147.91
167332,124.65
48093,236.28
182006,385.12
59806,199.07
110181,217.67
16749,431.63
173492,310.7
174704,87.44
145422,199.07
260954,217.67
108886,236.28
192823,310.7
9873,115.35
241968,124.65
156722,199.07
188890,171.16
186206,115.35
234019,217.67
124655,310.7
61731,124.65
31120,264.19
56945,180.47
80085,180.47
277858,546.05
55185,208.38
213270,310.7
177686,124.65
254897,236.28
195475,133.95
107029,180.47
172263,245.58
165462,171.16
214689,115.35
12447,217.67
249080,124.65
123976,199.07
162627,143.26
149125,171.16
30517,180.47
258713,236.28
124242,226.98
57113,171.16
80771,208.37
239968,143.26
118592,199.07
136262,264.19
39207,213.03
165515,143.26
57932,180.47
74961,271.63
243842,199.07
108413,217.67
8736,217.67
289189,264.19
20494,106.05
163421,264.19
199703,124.65
180141,87.44
35111,180.47
208268,310.7
61184,483.72
144846,217.67
180376,310.7
28375,180.47
13350,189.76
187999,124.65
171395,124.65
186653,217.67
96550,124.65
146924,171.16
166813,217.67
15171,282.79
27466,106.05
243373,143.26
240172,199.07
3839,189.76
208343,217.67
167768,92.09
179294,171.16
40581,124.65
222477,217.67
164343,217.67
184834,310.7
154732,129.3
117617,171.16
142954,310.7
27496,106.05
92880,273.49
278728,310.7
15035,217.67
1241,217.67
67606,185.12
112747,199.07
163595,199.07
202717,124.65
279316,217.67
269349,171.16
37908,115.35
116012,124.65
37589,271.63
18569,292.09
105454,152.56
